,File Size,Month,Date,Time,File Name,Recording Status,Energy in first 5 secs
367,488,Jul,3,15:05,20220703_220517.WAV,very small but no data,0.0
368,488,Jul,3,15:05,20220703_220518.WAV,very small but no data,0.0
369,488,Jul,3,15:05,20220703_220519.WAV,very small but no data,0.0
370,488,Jul,3,15:05,20220703_220520.WAV,very small but no data,0.0
371,488,Jul,3,15:05,20220703_220521.WAV,very small but no data,0.0
372,488,Jul,3,15:05,20220703_220522.WAV,very small but no data,0.0
373,488,Jul,3,15:05,20220703_220523.WAV,very small but no data,0.0
374,488,Jul,3,15:05,20220703_220524.WAV,very small but no data,0.0
375,488,Jul,3,15:05,20220703_220525.WAV,very small but no data,0.0
376,488,Jul,3,15:05,20220703_220526.WAV,very small but no data,0.0
377,488,Jul,3,15:05,20220703_220527.WAV,very small but no data,0.0
378,488,Jul,3,15:05,20220703_220528.WAV,very small but no data,0.0
379,488,Jul,3,15:05,20220703_220529.WAV,very small but no data,0.0
380,488,Jul,3,15:05,20220703_220530.WAV,very small but no data,0.0
381,488,Jul,3,15:05,20220703_220531.WAV,very small but no data,0.0
382,488,Jul,3,15:05,20220703_220532.WAV,very small but no data,0.0
383,488,Jul,3,15:05,20220703_220533.WAV,very small but no data,0.0
384,488,Jul,3,15:05,20220703_220534.WAV,very small but no data,0.0
385,488,Jul,3,15:05,20220703_220535.WAV,very small but no data,0.0
386,488,Jul,3,15:05,20220703_220536.WAV,very small but no data,0.0
387,488,Jul,3,15:05,20220703_220537.WAV,very small but no data,0.0
388,488,Jul,3,15:05,20220703_220538.WAV,very small but no data,0.0
389,488,Jul,3,15:05,20220703_220539.WAV,very small but no data,0.0
390,488,Jul,3,15:05,20220703_220540.WAV,very small but no data,0.0
